"Organization","ID/CDC","Administration","Student Group","Tests Taken","Performance Levels|Satisfactory|Count","Performance Levels|Satisfactory|Percentage","Performance Levels|Accomplished|Count","Performance Levels|Accomplished|Percentage","Performance Levels|Developing|Count","Performance Levels|Developing|Percentage"
"AUSTIN ISD","227901","Spring 2023","All Students","78","74","95","23","29","4","5"
"AUSTIN ISD","227901","Spring 2023","Male","57","55","96","17","30","2","4"
"AUSTIN ISD","227901","Spring 2023","Female","21","19","90","6","29","2","10"
"AUSTIN ISD","227901","Spring 2023","Hispanic/Latino","52","48","92","16","31","4","8"
"AUSTIN ISD","227901","Spring 2023","Asian","1","","","","","",""
"AUSTIN ISD","227901","Spring 2023","Black or African American","11","11","100","3","27","0","0"
"AUSTIN ISD","227901","Spring 2023","White","12","12","100","3","25","0","0"
"AUSTIN ISD","227901","Spring 2023","Two or More Races","2","","","","","",""
"AUSTIN ISD","227901","Spring 2023","Economically Disadvantaged","52","50","96","16","31","2","4"
"AUSTIN ISD","227901","Spring 2023","Not Economically Disadvantaged","26","24","92","7","27","2","8"
"AUSTIN ISD","227901","Spring 2023","Title I, Part A","59","55","93","19","32","4","7"
"AUSTIN ISD","227901","Spring 2023","Not Title I, Part A","19","19","100","4","21","0","0"
"AUSTIN ISD","227901","Spring 2023","Not Migrant","78","74","95","23","29","4","5"
"AUSTIN ISD","227901","Spring 2023","Current EB/EL","29","28","97","12","41","1","3"
"AUSTIN ISD","227901","Spring 2023","Non-EB/EL (Post Monitoring)","3","","","","","",""
"AUSTIN ISD","227901","Spring 2023","Other Non-EB/EL","46","43","93","11","24","3","7"
"AUSTIN ISD","227901","Spring 2023","Not Bilingual","78","74","95","23","29","4","5"
"AUSTIN ISD","227901","Spring 2023","ESL","7","6","86","4","57","1","14"
"AUSTIN ISD","227901","Spring 2023","Not ESL","1","","","","","",""
"AUSTIN ISD","227901","Spring 2023","No ESL Info. Provided","70","67","96","19","27","3","4"
"AUSTIN ISD","227901","Spring 2023","Special Education","78","74","95","23","29","4","5"
"AUSTIN ISD","227901","Spring 2023","Not Section 504","78","74","95","23","29","4","5"
"AUSTIN ISD","227901","Spring 2023","Not Gifted/Talented","78","74","95","23","29","4","5"
"AUSTIN ISD","227901","Spring 2023","At-Risk","44","42","95","15","34","2","5"
"AUSTIN ISD","227901","Spring 2023","Not At-Risk","34","32","94","8","24","2","6"
"AUSTIN ISD","227901","Spring 2023","No Career/Technical Education Provided","78","74","95","23","29","4","5"
"AUSTIN ISD","227901","Spring 2022","All Students","70","63","90","30","43","7","10"
"AUSTIN ISD","227901","Spring 2022","Male","45","42","93","18","40","3","7"
"AUSTIN ISD","227901","Spring 2022","Female","25","21","84","12","48","4","16"
"AUSTIN ISD","227901","Spring 2022","Hispanic/Latino","44","40","91","19","43","4","9"
"AUSTIN ISD","227901","Spring 2022","Asian","3","","","","","",""
"AUSTIN ISD","227901","Spring 2022","Black or African American","9","8","89","4","44","1","11"
"AUSTIN ISD","227901","Spring 2022","White","10","8","80","3","30","2","20"
"AUSTIN ISD","227901","Spring 2022","Two or More Races","4","","","","","",""
"AUSTIN ISD","227901","Spring 2022","Economically Disadvantaged","50","47","94","23","46","3","6"
"AUSTIN ISD","227901","Spring 2022","Not Economically Disadvantaged","20","16","80","7","35","4","20"
"AUSTIN ISD","227901","Spring 2022","Title I, Part A","33","33","100","16","48","0","0"
"AUSTIN ISD","227901","Spring 2022","Not Title I, Part A","37","30","81","14","38","7","19"
"AUSTIN ISD","227901","Spring 2022","No Migrant Info. Provided","70","63","90","30","43","7","10"
"AUSTIN ISD","227901","Spring 2022","Current EB/EL","12","12","100","6","50","0","0"
"AUSTIN ISD","227901","Spring 2022","Non-EB/EL (Monitored 2nd Year)","1","","","","","",""
"AUSTIN ISD","227901","Spring 2022","Non-EB/EL (Monitored 3rd Year)","3","","","","","",""
"AUSTIN ISD","227901","Spring 2022","Non-EB/EL (Monitored 4th Year)","5","3","60","1","20","2","40"
"AUSTIN ISD","227901","Spring 2022","Non-EB/EL (Post Monitoring)","1","","","","","",""
"AUSTIN ISD","227901","Spring 2022","Other Non-EB/EL","48","43","90","22","46","5","10"
"AUSTIN ISD","227901","Spring 2022","Not Bilingual","70","63","90","30","43","7","10"
"AUSTIN ISD","227901","Spring 2022","ESL","6","6","100","3","50","0","0"
"AUSTIN ISD","227901","Spring 2022","Not ESL","64","57","89","27","42","7","11"
"AUSTIN ISD","227901","Spring 2022","Special Education","70","63","90","30","43","7","10"
"AUSTIN ISD","227901","Spring 2022","No Section 504 Info. Provided","70","63","90","30","43","7","10"
"AUSTIN ISD","227901","Spring 2022","Not Gifted/Talented","70","63","90","30","43","7","10"
"AUSTIN ISD","227901","Spring 2022","At-Risk","27","24","89","13","48","3","11"
"AUSTIN ISD","227901","Spring 2022","No At-Risk Info. Provided","43","39","91","17","40","4","9"
"AUSTIN ISD","227901","Spring 2022","No Career/Technical Education Provided","70","63","90","30","43","7","10"
"AUSTIN ISD","227901","Spring 2017","All Students","74","65","88","27","36","9","12"
"AUSTIN ISD","227901","Spring 2017","Male","37","32","86","14","38","5","14"
"AUSTIN ISD","227901","Spring 2017","Female","37","33","89","13","35","4","11"
"AUSTIN ISD","227901","Spring 2017","Hispanic/Latino","43","39","91","15","35","4","9"
